PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,SAMPLE_TYPE,DISAPPEARS,REAPPEARS,CLEAR_TO_BOTTOM,NARS_COMMENT,NARS_FLAG,INDEX_SITE_DEPTH
8/13/2024,2020320,NLA_TX-10093,NES22-10121,1,6/7/2022,TX,SECH,0.7,0.6,,,,9
8/13/2024,2020321,NLA_TX-10023,NES22-10114,1,6/6/2022,TX,SECH,1.2,1.1,,,,12.3
8/13/2024,2020322,NLA_MI-10255,NLA22_MI-10109,1,6/7/2022,MI,SECH,1.8,1.78,,,,17.5
8/13/2024,2020323,NLA_MI-10151,NLA22_MI-10006,1,6/7/2022,MI,SECH,0.4,0.4,,,,3
8/13/2024,2020324,NLA_MS-10048,NLA22_MS-10003,1,6/6/2022,MS,SECH,0.4,0.4,,,,2
8/13/2024,2020325,NLA_IA-10036,NES22-10147,1,6/7/2022,IA,SECH,8.89,8.8,,,,27.3
8/13/2024,2020326,NLA_NV-10022,NES22-10192,1,6/7/2022,NV,SECH,10.5,10.4,,,,46
8/13/2024,2020327,NLA_TX-10237,NLA22_TX-10023,1,6/7/2022,TX,SECH,1.3,1.3,,,,2.1
8/13/2024,2020328,NLA_RI-10055,NLA22_RI-10003,1,6/7/2022,RI,SECH,1.6,1.5,,,,1.9
8/13/2024,2020329,NLA_GA-10103,NLA22_GA-10053,1,6/7/2022,GA,SECH,1.22,1.1,,,,3.1
8/13/2024,2020330,NLA_CA-10188,NLA22_CA-10055,1,6/7/2022,CA,SECH,1.4,1.3,,,,3
8/13/2024,2020331,NLA_WV-10042,NLA22_WV-10005,1,6/7/2022,WV,SECH,3.5,3.5,,,,8.2
8/13/2024,2020333,NLA_CA-10320,NLA22_CA-10161,1,6/7/2022,CA,SECH,1,0.91,,,,9.6
8/13/2024,2020334,NLA_KY-10056,NLA22_KY-10018,1,6/6/2022,KY,SECH,1.7,1.62,,,,6.5
8/13/2024,2020335,NLA_ND-10145,NLA22_ND-10003,1,6/7/2022,ND,SECH,0.8,0.7,,,,2.4
8/13/2024,2020337,NLA_MI-10256,NLA22_MI-10110,1,6/8/2022,MI,SECH,4.2,4.2,,,,14.1
8/13/2024,2020338,NLA_KY-10054,NLA22_KY-10016,1,6/7/2022,KY,SECH,0.32,0.29,,,,2.1
8/13/2024,2020339,NLA_WI-10230,NLA22_WI-10105,1,6/7/2022,WI,SECH,2.3,2.3,Y,,,2.3
8/13/2024,2020340,NLA_CA-10288,NLA22_CA-10129,1,6/8/2022,CA,SECH,10,9.55,,,,11.5
8/13/2024,2020341,NLA_LA-10231,NLA22_LA-10101,1,6/8/2022,LA,SECH,1.36,1.24,,,,1.7
8/13/2024,2020342,NLA_LA-10169,NLA22_LA-10039,1,6/7/2022,LA,SECH,0.56,0.54,,,,2
8/13/2024,2020343,NLA_VA-10056,NLA22_VA-10002,1,6/8/2022,VA,SECH,0.95,0.85,,,,2
8/13/2024,2020344,NLA_RI-10056,NLA22_RI-10004,1,6/8/2022,RI,SECH,2.5,2.4,,,,4.6
8/13/2024,2020345,NLA_WV-10051,NLA22_WV-10025,1,6/8/2022,WV,SECH,1.35,1.35,,,,5.9
8/13/2024,2020346,NLA_GA-10087,NLA22_GA-10020,1,6/8/2022,GA,SECH,1.56,0.89,,,,2.59
8/13/2024,2020347,NLA_NV-10003,NES22-10189,1,6/8/2022,NV,SECH,0.38,0.36,,,,2.4
8/13/2024,2020348,NLA_TX-10354,NLA22_TX-10136,1,6/8/2022,TX,SECH,1,1,Y,,,1
8/13/2024,2020349,NLA_WI-10007,NES22-10080,1,6/8/2022,WI,SECH,4.1,4,,,,20
8/13/2024,2020350,NLA_WY-10140,NLA22_WY-10023,1,6/8/2022,WY,SECH,2.1,2,,,,9.6
8/13/2024,2020351,NLA_CA-10337,NLA22_CA-10178,1,6/8/2022,CA,SECH,3.9,3.65,,,,6
8/13/2024,2020353,NLA_WY-10102,NLA22_WY-10004,1,6/8/2022,WY,SECH,3.7,3.5,,,,16.1
8/13/2024,2020354,NLA_SD-10203,NLA22_SD-10018,1,6/7/2022,SD,SECH,1.1,1,,,,2.7
8/13/2024,2020358,NLA_VA-10087,NLA22_VA-10026,1,6/9/2022,VA,SECH,2.4,2.25,,,,4.3
8/13/2024,2020364,NLA_WI-10030,NES22-10083,1,6/9/2022,WI,SECH,3.45,3.4,,,,19
8/13/2024,2020365,NLA_MI-10251,NLA22_MI-10105,1,6/9/2022,MI,SECH,1.65,1.65,,,,19
8/13/2024,2020366,NLA_NV-10132,NLA22_NV-10111,1,6/6/2022,NV,SECH,2,2,,,,9.75
8/13/2024,2020367,NLA_NV-10218,NLA22_NV-10068,1,6/8/2022,NV,SECH,0.32,0.25,,,,1.1
8/13/2024,2020368,NLA_NV-10386,NLA22_NV-10242,1,6/7/2022,NV,SECH,1.9,1.5,,,,8
8/13/2024,2020369,NLA_MI-10243,NLA22_MI-10023,1,6/9/2022,MI,SECH,4.9,4.8,,,,15
8/13/2024,2020370,NLA_MI-10247,NLA22_MI-10027,1,6/8/2022,MI,SECH,5.8,5.5,,,,13
8/13/2024,2020371,NLA_MA-10039,NLA22_MA-10007,1,6/9/2022,MA,SECH,0.7,0.6,,,,1.3
8/13/2024,2020372,NLA_OK-10059,NES22-10118,1,6/9/2022,OK,SECH,0.9,0.75,,,,9.7
8/13/2024,2020373,NLA_NC-10080,NLA22_NC-10010,1,6/8/2022,NC,SECH,0.6,0.5,,,,1.3
8/13/2024,2020374,NLA_AZ-10117,NLA22_AZ-10026,2,6/9/2022,AZ,SECH,0.6,0.6,,,,3.7
8/13/2024,2020375,NLA_AZ-10201,NLA22_AZ-10108,1,6/9/2022,AZ,SECH,0.5,0.5,,,,4.2
8/13/2024,2020376,NLA_GA-10134,NLA22_GA-10084,1,6/9/2022,GA,SECH,0.52,0.5,,,,1.89
8/13/2024,2020377,NLA_TX-10358,NLA22_TX-10140,1,6/9/2022,TX,SECH,0.5,0.4,,,,1
8/13/2024,2020378,NLA_LA-10002,NES22-10120,1,6/9/2022,LA,SECH,0.51,0.43,,,,13
8/13/2024,2020379,NLA_DE-10035,NLA22_DE-10001,1,6/9/2022,DE,SECH,0.8,0.7,,,,3.8
8/13/2024,2020383,NLA_MO-10100,NLA22_MO-10012,1,6/9/2022,MO,SECH,0.8,0.65,,,,2.1
8/13/2024,2020384,NLA_SD-10017,NES22-10169,1,6/10/2022,SD,SECH,1.7,1.6,,,,4.1
8/13/2024,2020385,NLA_MA-10025,NLA22_MA-10002,1,6/10/2022,MA,SECH,1.8,1.7,,,,2.7
8/13/2024,2020386,NLA_AZ-10100,NLA22_AZ-10009,2,6/10/2022,AZ,SECH,2.7,2.6,,,,12.5
8/13/2024,2020387,NLA_LA-10278,NLA22_LA-10148,1,6/10/2022,LA,SECH,1.3,1.22,,,,6.5
8/13/2024,2020388,NLA_RI-10066,NLA22_RI-10008,1,6/12/2022,RI,SECH,1.6,1.5,,,,2.1
8/13/2024,2020389,NLA_LA-10012,NES22-10119,1,6/12/2022,LA,SECH,0.33,0.25,,,,1.3
8/13/2024,2020390,NLA_LA-10030,NES22-10113,1,6/12/2022,LA,SECH,1.1,1.04,,,,6
8/13/2024,2020391,NLA_MO-10043,NES22-10141,1,6/13/2022,MO,SECH,1.1,1,,,,20.4
8/13/2024,2020393,NLA_AR-10050,NLA22_AR-10010,1,6/13/2022,AR,SECH,0.65,0.65,,,,8.2
8/13/2024,2020394,NLA_IA-10117,NLA22_IA-10006,1,6/13/2022,IA,SECH,2.95,2.9,,,,7.2
8/13/2024,2020395,NLA_MA-10040,NLA22_MA-10008,1,6/13/2022,MA,SECH,3.2,3.1,,,,25.9
8/13/2024,2020396,NLA_NM-10135,NLA22_NM-10055,1,6/13/2022,NM,SECH,0.5,0.5,,,,13.9
8/13/2024,2020397,NLA_LA-10438,NLA22_LA-10302,1,6/13/2022,LA,SECH,1.6,1.6,Y,,,1.6
8/13/2024,2020398,NLA_WA-10113,NLA22_WA-10002,1,6/29/2022,WA,SECH,4.3,3.7,,,,13.1
8/13/2024,2020399,NLA_WA-10114,NLA22_WA-10003,1,6/27/2022,WA,SECH,0.6,0.5,,,,4.7
8/13/2024,2020400,NLA_WA-10152,NLA22_WA-10015,1,8/16/2022,WA,SECH,2.5,2.2,,,,10.2
8/13/2024,2020401,NLA_WA-10156,NLA22_WA-10019,1,7/13/2022,WA,SECH,2.2,2.2,,,,12
8/13/2024,2020403,NLA_SD-10063,NES22-10173,1,6/12/2022,SD,SECH,1.6,1.5,,,,2.6
8/13/2024,2020404,NLA_SD-10055,NES22-10170,1,6/13/2022,SD,SECH,2,1.9,,,,5.2
8/13/2024,2020405,NLA_MI-10241,NLA22_MI-10021,1,6/13/2022,MI,SECH,2.8,2.8,,,,13
8/13/2024,2020406,NLA_NV-10379,NLA22_NV-10235,1,6/13/2022,NV,SECH,0.85,0.77,,,,18.7
8/13/2024,2020407,NLA_WY-10118,NLA22_WY-10033,1,6/13/2022,WY,SECH,0.75,0.5,,,,2.3
8/13/2024,2020408,NLA_KY-10065,NLA22_KY-10009,1,6/13/2022,KY,SECH,0.9,0.8,,,,2.7
8/13/2024,2020409,NLA_OK-10210,NLA22_OK-10028,1,6/13/2022,OK,SECH,0.7,0.6,,,,6.7
8/13/2024,2020410,NLA_WA-10129,NLA22_WA-10032,1,9/8/2022,WA,SECH,4,4,,,,42.6
8/13/2024,2020411,NLA_NH-10035,NLA22_NH-10013,1,6/14/2022,NH,SECH,1.6,1.6,Y,,,1.6
8/13/2024,2020412,NLA_MI-10253,NLA22_MI-10107,1,6/14/2022,MI,SECH,2.1,2.1,,,,23
8/13/2024,2020413,NLA_SD-10073,NES22-10161,1,6/14/2022,SD,SECH,0.6,0.5,,,,2.6
8/13/2024,2020414,NLA_PA-10085,NLA22_PA-10042,1,6/14/2022,PA,SECH,1.5,1.5,,,,1.7
8/13/2024,2020415,NLA_CT-10064,NLA22_CT-10023,1,7/12/2022,CT,SECH,0.85,0.8,,,,1.5
8/13/2024,2020416,NLA_NV-10402,NLA22_NV-10258,1,6/14/2022,NV,SECH,0.1,0.08,,,,1.55
8/13/2024,2020417,NLA_IL-10026,NES22-10064,1,6/13/2022,IL,SECH,1.2,1.15,,,,9.3
8/13/2024,2020418,NLA_IL-10011,NES22-10076,1,6/14/2022,IL,SECH,0.4,0.4,,,,1.6
8/13/2024,2020419,NLA_IL-10005,NES22-10060,1,6/14/2022,IL,SECH,0.35,0.34,,,,8.5
8/13/2024,2020420,NLA_WV-10033,NLA22_WV-10011,1,6/14/2022,WV,SECH,2.1,2.1,Y,,,2.1
8/13/2024,2020421,NLA_LA-10353,NLA22_LA-10224,1,6/14/2022,LA,SECH,0.42,0.36,,,,1.5
8/13/2024,2020422,NLA_TX-10225,NLA22_TX-10011,1,6/14/2022,TX,SECH,1,1.05,,,,2.9
8/13/2024,2020423,NLA_GA-10130,NLA22_GA-10080,1,6/14/2022,GA,SECH,2.46,2.34,,,,8
8/13/2024,2020424,NLA_MA-10031,NLA22_MA-10013,1,6/14/2022,MA,SECH,2.1,2.1,Y,,,2.1
8/13/2024,2020425,NLA_TX-10215,NLA22_TX-10001,1,6/14/2022,TX,SECH,0.9,0.8,,,,12.1
8/13/2024,2020426,NLA_VA-10063,NLA22_VA-10014,1,6/14/2022,VA,SECH,0.4,0.4,,,,1.3
8/13/2024,2020427,NLA_CT-10052,NLA22_CT-10016,1,6/14/2022,CT,SECH,3.6,3.6,,,,10
8/13/2024,2020429,NLA_IN-10283,NLA22_IN-10137,1,6/14/2022,IN,SECH,2.9,2.8,,,,5.6
8/13/2024,2020431,NLA_PA-10078,NLA22_PA-10010,1,6/22/2022,PA,SECH,3.9,3.85,,,,16.6
8/13/2024,2020432,NLA_MI-10254,NLA22_MI-10108,1,6/15/2022,MI,SECH,4.95,4.95,,,,25
8/13/2024,2020434,NLA_ND-10157,NLA22_ND-10016,1,6/14/2022,ND,SECH,2.4,2.3,,,,3.5
8/13/2024,2020435,NLA_ND-10181,NLA22_ND-10059,1,6/14/2022,ND,SECH,2,1.9,,,,2.5
8/13/2024,2020436,NLA_TN-10055,NLA22_TN-10017,1,6/14/2022,TN,SECH,0.58,0.57,,,,5.3
8/13/2024,2020437,NLA_PA-10050,NLA22_PA-10016,1,6/15/2022,PA,SECH,1.1,1,,,,2.1
